Shape,Carat,Clarity,Colour,Cut,Price,Date
MARQUISE,0.34,SI1,D,EX,"1,017.77",2024-07-11 08:49:07.909502
MARQUISE,0.32,VS2,G,EX,"1,016.72",2024-07-10 08:49:07.909502
MARQUISE,0.32,VVS2,G,EX,"1,015.71",2024-07-09 08:49:07.909502
MARQUISE,0.4,SI1,H,GD,"1,014.76",2024-07-08 08:49:07.909502
MARQUISE,0.31,VS2,E,EX,"1,013.39",2024-07-07 08:49:07.909502
MARQUISE,0.38,SI1,D,EX,"1,012.36",2024-07-06 08:49:07.909502
MARQUISE,0.3,VS2,D,EX,"1,011.84",2024-07-05 08:49:07.909502
MARQUISE,0.3,VS1,D,EX,"1,010.79",2024-07-04 08:49:07.909502
MARQUISE,0.5,VVS1,K,EX,"1,010.70",2024-07-03 08:49:07.909502
MARQUISE,0.32,VS2,D,EX,"1,010.30",2024-07-02 08:49:07.909502
MARQUISE,0.35,VS1,F,VG,"1,008.24",2024-07-01 08:49:07.909502
MARQUISE,0.3,SI1,D,VG,901.34,2024-06-30 08:49:07.909502
MARQUISE,0.4,VVS2,K,EX,895.77,2024-06-29 08:49:07.909502
MARQUISE,0.31,SI2,D,EX,891.8,2024-06-28 08:49:07.909502
MARQUISE,0.3,VS2,F,EX,891.17,2024-06-27 08:49:07.909502
MARQUISE,0.3,VS2,F,EX,890.14,2024-06-26 08:49:07.909502
MARQUISE,0.3,VVS1,I,EX,886.62,2024-06-25 08:49:07.909502
MARQUISE,0.3,SI1,D,GD,884.61,2024-06-24 08:49:07.909502
MARQUISE,0.3,SI2,D,EX,882.52,2024-06-23 08:49:07.909502
MARQUISE,0.31,SI2,D,EX,882.37,2024-06-22 08:49:07.909502
MARQUISE,0.31,SI1,E,EX,877.65,2024-06-21 08:49:07.909502
MARQUISE,0.31,VS1,H,EX,875.07,2024-06-20 08:49:07.909502
MARQUISE,0.3,VS2,H,VG,871.87,2024-06-19 08:49:07.909502
MARQUISE,0.3,SI1,D,EX,870.91,2024-06-18 08:49:07.909502
MARQUISE,0.35,VVS1,H,EX,869.83,2024-06-17 08:49:07.909502
MARQUISE,0.3,VS1,D,VG,"1,044.25",2024-06-16 08:49:07.909502
MARQUISE,0.31,VS2,D,EX,"1,041.16",2024-06-15 08:49:07.909502
MARQUISE,0.59,SI2,L,VG,"1,039.49",2024-06-14 08:49:07.909502
MARQUISE,0.3,VVS1,D,EX,"1,038.27",2024-06-13 08:49:07.909502
MARQUISE,0.3,VS1,D,EX,"1,035.13",2024-06-12 08:49:07.909502
MARQUISE,0.36,VS1,F,EX,"1,032.86",2024-06-11 08:49:07.909502
MARQUISE,0.3,VS2,D,EX,"1,032.64",2024-06-10 08:49:07.909502
